,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
1377,Código 1085813  / Los Parra,"EN ARRIENDO $4,600,000",Apartamento en Arriendo Los Parra Medellin ,Los Parra,Marmol,4 + Baño de servicio,138 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,3 + cuarto útil (),,3 + Alcoba de servicio,6,138 M2.,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1378,Código 1085708  / Oviedo,"EN ARRIENDO $5,000,000",Apartamento en Arriendo Oviedo Medellin ,Oviedo,Madera,4 + Baño de servicio,230 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 (),,5 + Alcoba de servicio,6,230 M2.,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1379,Código 1085692  / Transv. Superior,"EN ARRIENDO $18,500,000",Apartamento en Arriendo Transv. Superior Medellin ,Transv. Superior,Madera,4 + Baño de servicio,410 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,5 + cuarto útil (),,3 + Alcoba de servicio,6,410 M2.,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1380,Código 1085672  / Aguacatala,"EN ARRIENDO $4,100,000",Apartamento en Arriendo Aguacatala Medellin ,Aguacatala,Marmol,3,138 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3,6,138 M2.,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
1381,Código 1082179  / La Visitación,"EN ARRIENDO $4,200,000",Apartamento en Arriendo La Visitación Medellin ,La Visitación,Madera,2,87 M2. aproximadamente,Medellin Zona 2 - El Poblado,2,Integral,2 + cuarto útil (),,1,6,87 M2.,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1382,Código 1081755  / Las Vegas,"EN ARRIENDO $5,600,000",Apartamento en Arriendo Las Vegas Medellin Zona 2 - El Poblado,Las Vegas,Madera,2,81 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,1 (),,1,0,81 M2.,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,Código 1080422  / El Tesoro,"EN ARRIENDO $8,800,000",APARTAMENTO CERCA AL CENTRO COMERCIAL EL TESORO ,El Tesoro,Marmol,5 + Baño de servicio,367 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,3 + cuarto útil (),,4 + Alcoba de servicio,6,367 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
1384,Código 1080299  / Santa Ma. los Angeles,"EN ARRIENDO $3,700,000",Apartamento en Arriendo Santa Ma. los Angeles Medellin ,Santa Ma. los Angeles,Porcelanato,5 + Baño de servicio,135 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,135 M2.,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
1385,Código 1079730  / Aguacatala,"EN ARRIENDO $3,500,000",Apartamento en Arriendo Aguacatala Medellin ,Aguacatala,Madera,4 + Baño de servicio,180 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,180 M2.,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
1386,Código 1078856  / Santa Ma. los Angeles,"EN ARRIENDO $3,700,000",Apartamento en Arriendo Santa Ma. los Angeles Medellin ,Santa Ma. los Angeles,Madera,4 + Baño de servicio,104 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,2,6,104 M2.,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
