codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1285734  / Rodeo Alto,"EN ARRIENDO $2,800,000",Apartamento en Arriendo Rodeo Alto Medellin ,Rodeo Alto,Ceramica,2,60 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,2,4,60 M2.,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0
Código 1285579  / Guayabal,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Porcelanato,1,58 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (cubierto),,1,5,58 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1285578  / Guayabal,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Porcelanato,1,58 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (cubierto),,1,5,58 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1284729  / Alameda,"EN ARRIENDO $5,000,000",Apartamento en Arriendo Alameda Medellin ,Alameda,Baldosa comun,4,180 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,1 (),,4 + Alcoba de servicio,5,180 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Código 1284686  / Belén Las Mercedes,"EN ARRIENDO $900,000",Apartamento en Arriendo Belén Las Mercedes Medellin ,Belén Las Mercedes,Ceramica,1,15 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,3,15 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Código 1284577  / Rosales,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Rosales Medellin ,Rosales,Ceramica,2,100 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 (),,3,5,100 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1202704  / Malibú,"EN ARRIENDO $5,000,000",Apartamento en Arriendo Malibú Medellin ,Malibú,Ceramica,2,97 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3,5,97 M2.,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Código 1281406  / Belén La Palma,"EN ARRIENDO $2,700,000",Apartamento en Arriendo Belén La Palma Medellin ,Belén La Palma,Ceramica,1,80 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,3,4,80 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Código 1281003  / Guayabal,"EN ARRIENDO $2,600,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,1,44 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,1,5,44 M2.,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1279554  / Santa Fé,"EN ARRIENDO $2,900,000",Apartamento en Arriendo Santa Fé Medellin ,Santa Fé,Ceramica,2 + Baño de servicio,62 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2 + Alcoba de servicio,6,62 M2.,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0
Código 1278601  / Nueva Villa Aburrá,"EN ARRIENDO $4,500,000",Apartamento en Arriendo Nueva Villa Aburrá Medellin ,Nueva Villa Aburrá,Baldosa comun,3,120 M2. aproximadamente,Medellin Zona 4 - Belen,2,Semi-Integral,0 (),,3,4,120 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1275210  / Santa Fé,"EN ARRIENDO $3,200,000",Apartamento en Arriendo Santa Fé Medellin ,Santa Fé,Madera,2,65 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2,4,65 M2.,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Código 1275190  / Guayabal,"EN ARRIENDO $2,700,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Madera laminada,1,42 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,1,5,42 M2.,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
Código 1272886  / Guayabal,"EN ARRIENDO $2,600,000",Apartamento en Arriendo o Venta Guayabal Medellin ,Guayabal,Ceramica,1,42 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,1,5,42 M2.,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Código 1271866  / Guayabal,"EN ARRIENDO $2,600,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,66 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,2,4,66 M2.,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Código 1271624  / Belén Los Alpes,"EN ARRIENDO $3,300,000",Apartamento en Arriendo o Venta Belén Los Alpes Medellin ,Belén Los Alpes,Ceramica,2,92 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),"Casa para arriendo o venta en sector los alpes, consta de 4 alcobas, 3 closet, sala comesor, 2 baños cabinados, cuarto util, balcon doble, terraza, piso en ceramica, 92mt2
https://www.inmobiliariatrianon.com/inmueble/4206",4,3,92 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
